,Year,Place of Info Breach,Method of Breach,Type of Breach,Name of Business,Organization Type,Summary of Events,Individuals Affected
149,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,"A laptop containing certain information collected on approximately 12,580 individuals referred to Shands at UF GI Clinical Services was stolen from the private residence of an employee.  The stolen information included patient names, social security numbers, and medical record numbers.  As a result of the incident, the employee was counseled by her supervisor, issued written corrective action with a 3-day suspension, and provided additional HIPAA training.  OCR reviewed Shands at UF's most recent Risk Analysis and Risk Management Plans and they revealed no high risk findings related to encryption, workstation use, or physical security.  OCR's investigation found that Shands at UF has implemented appropriate technical safeguards, such as secure VPN network connections and network storage for workforce usage, encrypted USB portable flash drives, and PGP whole disk encryption.  

",12580
164,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"On January 29, 2010, there was a break-in at one of the Thrivent's offices and five laptop computers were stolen; four of the five laptops were recovered.  The missing laptop computer contained the protected health information of approximately 9,400 individuals.    The protected health information involved in the breach included name, address, date of birth, social security number, prescription drugs, medical condition, age, weight, etc. Thrivent provided OCR with additional controls to remedy causes of security breach at various stages of implementation.  The actions taken by the CE prior to OCR's formal investigation brought the CE into compliance. 

",9500
167,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"On January 29, 2010, there was a break-in at one of the Thrivent's offices and five laptop computers were stolen; four of the five laptops were recovered.  The missing laptop computer contained the protected health information of approximately 9,400 individuals.    The protected health information involved in the breach included name, address, date of birth, social security number, prescription drugs, medical condition, age, weight, etc. Thrivent provided OCR with additional controls to remedy causes of security breach at various stages of implementation.  The actions taken by the CE prior to OCR's formal investigation brought the CE into compliance. 

",9500
169,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,"On January 29, 2010, there was a break-in at one of the Thrivent's offices and five laptop computers were stolen; four of the five laptops were recovered.  The missing laptop computer contained the protected health information of approximately 9,400 individuals.    The protected health information involved in the breach included name, address, date of birth, social security number, prescription drugs, medical condition, age, weight, etc. Thrivent provided OCR with additional controls to remedy causes of security breach at various stages of implementation.  The actions taken by the CE prior to OCR's formal investigation brought the CE into compliance. 

",9500
184,2010,Paper,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,554
187,2010,Paper,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,554
189,2010,Paper,lost / stolen media,Theft,JP Morgan Chase,Financial,,554
204,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"An unencrypted laptop computer containing the electronic protected health information (ePHI) of 625 individuals was stolen from the covered entity's (CE) mobile dental van.  The ePHI included names, dates of birth, medical record numbers and dental x-rays.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media and affected individuals.  As a result of OCR's investigation, the CE revised its procedures so that all ePHI is stored in a data center, rather than the mobile dental van laptop.  In addition, the CE encrypted all mobile dental van laptops and improved physical security for the van.  The CE developed a new policy on ePHI security and retrained all staff.  OCR obtained assurances that the CE implemented the corrective action listed above.",625
207,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"An unencrypted laptop computer containing the electronic protected health information (ePHI) of 625 individuals was stolen from the covered entity's (CE) mobile dental van.  The ePHI included names, dates of birth, medical record numbers and dental x-rays.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media and affected individuals.  As a result of OCR's investigation, the CE revised its procedures so that all ePHI is stored in a data center, rather than the mobile dental van laptop.  In addition, the CE encrypted all mobile dental van laptops and improved physical security for the van.  The CE developed a new policy on ePHI security and retrained all staff.  OCR obtained assurances that the CE implemented the corrective action listed above.",625
209,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,"An unencrypted laptop computer containing the electronic protected health information (ePHI) of 625 individuals was stolen from the covered entity's (CE) mobile dental van.  The ePHI included names, dates of birth, medical record numbers and dental x-rays.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media and affected individuals.  As a result of OCR's investigation, the CE revised its procedures so that all ePHI is stored in a data center, rather than the mobile dental van laptop.  In addition, the CE encrypted all mobile dental van laptops and improved physical security for the van.  The CE developed a new policy on ePHI security and retrained all staff.  OCR obtained assurances that the CE implemented the corrective action listed above.",625
224,2010,Other Portable Electronic Device,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"Three unencrypted external back-up drives were stolen from a safe in the covered entity's locked office.  The laptop computer contained the protected health information of approximately 21,000 individuals.  The protected health information involved in the breach included names, addresses phone numbers, dates of birth, social security numbers, insurance information, and treatment histories.  Following the breach, the covered entity moved back-up data offsite and encrypted all workstations.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and in retraining employees.

",21000
227,2010,Other Portable Electronic Device,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"Three unencrypted external back-up drives were stolen from a safe in the covered entity's locked office.  The laptop computer contained the protected health information of approximately 21,000 individuals.  The protected health information involved in the breach included names, addresses phone numbers, dates of birth, social security numbers, insurance information, and treatment histories.  Following the breach, the covered entity moved back-up data offsite and encrypted all workstations.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and in retraining employees.

",21000
229,2010,Other Portable Electronic Device,lost / stolen media,Theft,JP Morgan Chase,Financial,"Three unencrypted external back-up drives were stolen from a safe in the covered entity's locked office.  The laptop computer contained the protected health information of approximately 21,000 individuals.  The protected health information involved in the breach included names, addresses phone numbers, dates of birth, social security numbers, insurance information, and treatment histories.  Following the breach, the covered entity moved back-up data offsite and encrypted all workstations.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and in retraining employees.

",21000
244,2010,Paper,lost / stolen media,Other,Educational Credit Management Corporation,Financial,"The covered entity sent postcards to approximately 3,800 patients, which listed the patients' demographic information, and a statement that read, 'Your Physician Has Moved,'  with a name and description of the practice, Infectious Disease Specialist. The types of PHI involved were demographic and clinical information. Voluntary actions taken prior to OCR's investigation include the issuance of sanctions and review of policies and procedures.

",3800
247,2010,Paper,hacked,Other,Federal Reserve Bank of Cleveland,Financial,"The covered entity sent postcards to approximately 3,800 patients, which listed the patients' demographic information, and a statement that read, 'Your Physician Has Moved,'  with a name and description of the practice, Infectious Disease Specialist. The types of PHI involved were demographic and clinical information. Voluntary actions taken prior to OCR's investigation include the issuance of sanctions and review of policies and procedures.

",3800
249,2010,Paper,lost / stolen media,Other,JP Morgan Chase,Financial,"The covered entity sent postcards to approximately 3,800 patients, which listed the patients' demographic information, and a statement that read, 'Your Physician Has Moved,'  with a name and description of the practice, Infectious Disease Specialist. The types of PHI involved were demographic and clinical information. Voluntary actions taken prior to OCR's investigation include the issuance of sanctions and review of policies and procedures.

",3800
264,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"A laptop computer was stolen from a workforce member's car.  The laptop computer contained the protected health information of approximately 5080 individuals.  The protected health information involved in the breach included names, addresses, dates of birth, Social Security numbers, and lab results.  Following the breach, the covered entity encrypted all laptop computers.  

",5080
267,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"A laptop computer was stolen from a workforce member's car.  The laptop computer contained the protected health information of approximately 5080 individuals.  The protected health information involved in the breach included names, addresses, dates of birth, Social Security numbers, and lab results.  Following the breach, the covered entity encrypted all laptop computers.  

",5080
269,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,"A laptop computer was stolen from a workforce member's car.  The laptop computer contained the protected health information of approximately 5080 individuals.  The protected health information involved in the breach included names, addresses, dates of birth, Social Security numbers, and lab results.  Following the breach, the covered entity encrypted all laptop computers.  

",5080
284,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,2600
287,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,2600
289,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,2600
304,2010,Network Server,lost / stolen media,Hacking/IT Incident,Educational Credit Management Corporation,Financial,,957
307,2010,Network Server,hacked,Hacking/IT Incident,Federal Reserve Bank of Cleveland,Financial,,957
309,2010,Network Server,lost / stolen media,Hacking/IT Incident,JP Morgan Chase,Financial,,957
324,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,2465
327,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,2465
329,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,2465
344,2010,E-mail,lost / stolen media,Unauthorized Access/Disclosure ,Educational Credit Management Corporation,Financial,,768
347,2010,E-mail,hacked,Unauthorized Access/Disclosure ,Federal Reserve Bank of Cleveland,Financial,,768
349,2010,E-mail,lost / stolen media,Unauthorized Access/Disclosure ,JP Morgan Chase,Financial,,768
364,2010,Other Portable Electronic Device,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,2773
367,2010,Other Portable Electronic Device,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,2773
369,2010,Other Portable Electronic Device,lost / stolen media,Theft,JP Morgan Chase,Financial,,2773
384,2010,Paper,lost / stolen media,"Theft, Loss",Educational Credit Management Corporation,Financial,,8000
387,2010,Paper,hacked,"Theft, Loss",Federal Reserve Bank of Cleveland,Financial,,8000
389,2010,Paper,lost / stolen media,"Theft, Loss",JP Morgan Chase,Financial,,8000
404,2010,Other,lost / stolen media,Other,Educational Credit Management Corporation,Financial,,83945
407,2010,Other,hacked,Other,Federal Reserve Bank of Cleveland,Financial,,83945
409,2010,Other,lost / stolen media,Other,JP Morgan Chase,Financial,,83945
424,2010,Paper,lost / stolen media,Loss,Educational Credit Management Corporation,Financial,,6800
427,2010,Paper,hacked,Loss,Federal Reserve Bank of Cleveland,Financial,,6800
429,2010,Paper,lost / stolen media,Loss,JP Morgan Chase,Financial,,6800
444,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,5450
447,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,5450
449,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,5450
464,2010,Paper,lost / stolen media,Other,Educational Credit Management Corporation,Financial,,660
467,2010,Paper,hacked,Other,Federal Reserve Bank of Cleveland,Financial,,660
469,2010,Paper,lost / stolen media,Other,JP Morgan Chase,Financial,,660
484,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"An unencrypted laptop was stolen from an employee's vehicle.  The laptop contained the protected health information of approximately 955 individuals.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, diagnoses, medications and other treatment information.  Following the discovery of the breach, the covered entity revised policies, retrained staff and implemented additional physical and technical safeguards including encryption software.  The covered entity also removed the stolen laptop's access to the server, sanctioned the involved employee, notified the affected individuals and notified the local media.  

",955
487,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"An unencrypted laptop was stolen from an employee's vehicle.  The laptop contained the protected health information of approximately 955 individuals.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, diagnoses, medications and other treatment information.  Following the discovery of the breach, the covered entity revised policies, retrained staff and implemented additional physical and technical safeguards including encryption software.  The covered entity also removed the stolen laptop's access to the server, sanctioned the involved employee, notified the affected individuals and notified the local media.  

",955
489,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,"An unencrypted laptop was stolen from an employee's vehicle.  The laptop contained the protected health information of approximately 955 individuals.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, diagnoses, medications and other treatment information.  Following the discovery of the breach, the covered entity revised policies, retrained staff and implemented additional physical and technical safeguards including encryption software.  The covered entity also removed the stolen laptop's access to the server, sanctioned the involved employee, notified the affected individuals and notified the local media.  

",955
504,2010,Other,lost / stolen media,Other,Educational Credit Management Corporation,Financial,,600
507,2010,Other,hacked,Other,Federal Reserve Bank of Cleveland,Financial,,600
509,2010,Other,lost / stolen media,Other,JP Morgan Chase,Financial,,600
524,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"A laptop computer was stolen from the covered entity's office by a former employee after it had been damaged. The laptop computer contained the PHI of approximately 54,165 individuals.  The computer contained a limited amount of PHI, including client names and one or more of the following: addresses, phone numbers, social security numbers, insurance provider names and policy numbers, medical diagnostic codes or medical equipment.  Following the breach, the covered entity notified all affected individuals, the media, and HHS of the breach. Additionally, the covered entity completed its laptop encryption project to cover all PHI stored on computers in the office.  Additionally, OCR's investigation resulted in the covered entity reinforcing the requirements of HIPAA to its employees.

",54165
527,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"A laptop computer was stolen from the covered entity's office by a former employee after it had been damaged. The laptop computer contained the PHI of approximately 54,165 individuals.  The computer contained a limited amount of PHI, including client names and one or more of the following: addresses, phone numbers, social security numbers, insurance provider names and policy numbers, medical diagnostic codes or medical equipment.  Following the breach, the covered entity notified all affected individuals, the media, and HHS of the breach. Additionally, the covered entity completed its laptop encryption project to cover all PHI stored on computers in the office.  Additionally, OCR's investigation resulted in the covered entity reinforcing the requirements of HIPAA to its employees.

",54165
529,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,"A laptop computer was stolen from the covered entity's office by a former employee after it had been damaged. The laptop computer contained the PHI of approximately 54,165 individuals.  The computer contained a limited amount of PHI, including client names and one or more of the following: addresses, phone numbers, social security numbers, insurance provider names and policy numbers, medical diagnostic codes or medical equipment.  Following the breach, the covered entity notified all affected individuals, the media, and HHS of the breach. Additionally, the covered entity completed its laptop encryption project to cover all PHI stored on computers in the office.  Additionally, OCR's investigation resulted in the covered entity reinforcing the requirements of HIPAA to its employees.

",54165
544,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,3594
547,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,3594
549,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,3594
564,2010,Paper,lost / stolen media,Improper Disposal,Educational Credit Management Corporation,Financial,,2850
567,2010,Paper,hacked,Improper Disposal,Federal Reserve Bank of Cleveland,Financial,,2850
569,2010,Paper,lost / stolen media,Improper Disposal,JP Morgan Chase,Financial,,2850
584,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"22 computers were stolen from Clinical Management Service office.Five of the stolen computers contained the protected health information of approximately 22,012 individuals. The protected health information involved in the breach included name, date of birth, social security number, referral number, encounter number, facility, member ID, diagnosis, procedure, and/or diagnosis code. As a result of this incident, St. Joseph notified the potentially affected individuals, notified the local media, installed security cameras, re-trained employees, and installed encryption software on all laptops and Computers enterprise-wide. OCR's investigation resulted in the covered entity improving their physical and technological safeguards and retraining employees.

",22012
587,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"22 computers were stolen from Clinical Management Service office.Five of the stolen computers contained the protected health information of approximately 22,012 individuals. The protected health information involved in the breach included name, date of birth, social security number, referral number, encounter number, facility, member ID, diagnosis, procedure, and/or diagnosis code. As a result of this incident, St. Joseph notified the potentially affected individuals, notified the local media, installed security cameras, re-trained employees, and installed encryption software on all laptops and Computers enterprise-wide. OCR's investigation resulted in the covered entity improving their physical and technological safeguards and retraining employees.

",22012
589,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,"22 computers were stolen from Clinical Management Service office.Five of the stolen computers contained the protected health information of approximately 22,012 individuals. The protected health information involved in the breach included name, date of birth, social security number, referral number, encounter number, facility, member ID, diagnosis, procedure, and/or diagnosis code. As a result of this incident, St. Joseph notified the potentially affected individuals, notified the local media, installed security cameras, re-trained employees, and installed encryption software on all laptops and Computers enterprise-wide. OCR's investigation resulted in the covered entity improving their physical and technological safeguards and retraining employees.

",22012
604,2010,Other Portable Electronic Device,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,5148
607,2010,Other Portable Electronic Device,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,5148
609,2010,Other Portable Electronic Device,lost / stolen media,Theft,JP Morgan Chase,Financial,,5148
624,2010,Other,lost / stolen media,Loss,Educational Credit Management Corporation,Financial,,1874
627,2010,Other,hacked,Loss,Federal Reserve Bank of Cleveland,Financial,,1874
629,2010,Other,lost / stolen media,Loss,JP Morgan Chase,Financial,,1874
644,2010,Other,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,735
647,2010,Other,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,735
649,2010,Other,lost / stolen media,Theft,JP Morgan Chase,Financial,,735
664,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,500
667,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,500
669,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,500
684,2010,Other Portable Electronic Device,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,180111
687,2010,Other Portable Electronic Device,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,180111
689,2010,Other Portable Electronic Device,lost / stolen media,Theft,JP Morgan Chase,Financial,,180111
704,2010,Paper,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"A covered entity's (CE's) employee placed paper records containing protected health information (PHI) in an unsecured box that was left undiscovered in a public parking garage for four days.  The box contained the PHI of 649 patients.  The PHI included treatment records, productivity reports, coding information, names, medical treatments, conditions, diagnoses, and social security numbers.  Upon discovery of the breach, the CE notified the affected individuals and provided credit protection to those whose social security numbers had been breached.  The CE provided OCR with copies of its breach prevention policies and procedures. Following OCR's investigation, the employee who left the records resigned from her position and the CE improved its breach response procedures. ",649
707,2010,Paper,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"A covered entity's (CE's) employee placed paper records containing protected health information (PHI) in an unsecured box that was left undiscovered in a public parking garage for four days.  The box contained the PHI of 649 patients.  The PHI included treatment records, productivity reports, coding information, names, medical treatments, conditions, diagnoses, and social security numbers.  Upon discovery of the breach, the CE notified the affected individuals and provided credit protection to those whose social security numbers had been breached.  The CE provided OCR with copies of its breach prevention policies and procedures. Following OCR's investigation, the employee who left the records resigned from her position and the CE improved its breach response procedures. ",649
709,2010,Paper,lost / stolen media,Theft,JP Morgan Chase,Financial,"A covered entity's (CE's) employee placed paper records containing protected health information (PHI) in an unsecured box that was left undiscovered in a public parking garage for four days.  The box contained the PHI of 649 patients.  The PHI included treatment records, productivity reports, coding information, names, medical treatments, conditions, diagnoses, and social security numbers.  Upon discovery of the breach, the CE notified the affected individuals and provided credit protection to those whose social security numbers had been breached.  The CE provided OCR with copies of its breach prevention policies and procedures. Following OCR's investigation, the employee who left the records resigned from her position and the CE improved its breach response procedures. ",649
724,2010,Paper,lost / stolen media,Loss,Educational Credit Management Corporation,Financial,,568
727,2010,Paper,hacked,Loss,Federal Reserve Bank of Cleveland,Financial,,568
729,2010,Paper,lost / stolen media,Loss,JP Morgan Chase,Financial,,568
744,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,4200
747,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,4200
749,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,4200
764,2010,E-mail,lost / stolen media,"Theft, Other",Educational Credit Management Corporation,Financial,"An employee of the covered entity emailed protected health information (PHI) to an offsite research office (which is not itself a covered entity) in violation of the review preparatory to research protocol.  The research office stored the electronic information on an external hard drive that was later stolen.  The device contained the PHI of 2,416 individuals.  The PHI involved in the breach included names, dates of birth, and clinical information.  In response to this incident, the covered entity terminated transmission of the PHI to this research office and gave the responsible employee a verbal warning and counseling.  Additionally, the covered entity undertook a review of all research affiliations involving PHI of hospital patients to confirm that appropriate documentation and procedures are in place.

",2416
767,2010,E-mail,hacked,"Theft, Other",Federal Reserve Bank of Cleveland,Financial,"An employee of the covered entity emailed protected health information (PHI) to an offsite research office (which is not itself a covered entity) in violation of the review preparatory to research protocol.  The research office stored the electronic information on an external hard drive that was later stolen.  The device contained the PHI of 2,416 individuals.  The PHI involved in the breach included names, dates of birth, and clinical information.  In response to this incident, the covered entity terminated transmission of the PHI to this research office and gave the responsible employee a verbal warning and counseling.  Additionally, the covered entity undertook a review of all research affiliations involving PHI of hospital patients to confirm that appropriate documentation and procedures are in place.

",2416
769,2010,E-mail,lost / stolen media,"Theft, Other",JP Morgan Chase,Financial,"An employee of the covered entity emailed protected health information (PHI) to an offsite research office (which is not itself a covered entity) in violation of the review preparatory to research protocol.  The research office stored the electronic information on an external hard drive that was later stolen.  The device contained the PHI of 2,416 individuals.  The PHI involved in the breach included names, dates of birth, and clinical information.  In response to this incident, the covered entity terminated transmission of the PHI to this research office and gave the responsible employee a verbal warning and counseling.  Additionally, the covered entity undertook a review of all research affiliations involving PHI of hospital patients to confirm that appropriate documentation and procedures are in place.

",2416
784,2010,Network Server,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,40000
787,2010,Network Server,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,40000
789,2010,Network Server,lost / stolen media,Theft,JP Morgan Chase,Financial,,40000
804,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,584
807,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,584
809,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,584
824,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,656
